PRN,L1,X,Y,Z
154,143588831.82,-26916298.03,-2738678.66,-11996368.48
155,130653024.41,7525690.37,19506497.68,-20949608.30
159,126717695.82,-13393419.83,11968129.58,-23519577.49
174,135590276.69,-21266103.93,19852330.46,5502623.54
181,132277486.86,-25697148.88,8478510.63,-11983680.13
