PRN,L1,X,Y,Z
154,144732675.77,-26916297.22,-2738678.33,-11996370.37
155,131796866.21,7525691.76,19506498.31,-20949607.21
159,127861541.27,-13393418.26,11968130.27,-23519578.04
174,136734190.29,-21266103.64,19852330.18,5502625.68
181,133421353.12,-25697149.62,8478511.10,-11983678.21
