PRN,L1,X,Y,Z
154,148445614.13,-28824855.18,-3331684.88,-5833025.24
155,129436683.11,2847363.30,17829892.74,-23451064.94
159,129024672.38,-18112952.18,10371378.82,-20977224.27
174,131540267.25,-21527125.49,20297088.12,-1169497.61
181,133044764.25,-23104316.90,6456482.66,-17326698.31
